Year,Month,H2
2009,8,7.157
2009,9,7.159
2009,9,7.24
2009,9,7.332
2009,9,7.397
2009,9,7.544
2009,9,7.596
2009,9,7.531
2009,9,7.403
2010,6,7.101
2010,6,7.131
2010,6,7.094
2010,6,6.927
2010,6,6.88
2010,6,6.787
2010,6,6.817
2010,7,6.872
2010,7,6.801
2010,7,6.77
2010,7,6.756
2010,7,6.752
2010,7,6.658
2010,7,6.645
2010,7,6.715
2010,8,6.745
2010,8,6.762
2010,8,6.775
2010,8,6.834
2010,8,6.836
2010,8,6.902
2010,8,6.965
2010,8,7.063
2010,9,7.065
2010,9,7.016
2010,9,7.016
2010,9,7.063
2010,9,7.161
2010,9,7.279
2010,9,7.366
2011,6,7.445
2011,6,7.42
2011,6,7.418
2011,6,7.556
2011,6,7.467
2011,6,7.491
2011,6,7.332
2011,7,7.395
2011,7,7.464
2011,7,7.414
2011,7,7.392
2011,7,7.383
2011,7,7.555
2011,7,7.535
2011,7,7.325
2011,8,7.293
2011,8,7.437
2011,8,7.573
2011,8,7.592
2011,8,7.655
2011,8,7.469
2011,8,7.502
2011,8,7.637
2011,9,7.549
2011,9,7.628
2011,9,7.454
2011,9,7.506
2011,9,7.424
2011,9,7.387
2011,9,7.415
2012,6,6.545
2012,6,6.597
2012,6,6.77
2012,6,6.76
2012,6,6.727
2012,6,6.821
2012,6,6.853
2012,6,6.765
2012,7,6.999
2012,7,7.12
2012,7,7.099
2012,7,7.07
2012,7,6.861
2012,7,7.427
2012,7,7.529
2012,8,7.587
2012,8,7.327
2012,8,7.575
2012,8,7.561
2012,8,7.298
2012,8,7.52
2012,8,7.65
2012,8,7.47
2012,9,7.465
2012,9,7.356
2012,9,7.41
2012,9,7.344
2012,9,7.283
2012,9,7.421
2012,9,7.514
2012,9,7.397
2013,6,6.482
2013,6,6.542
2013,6,6.848
2013,6,6.946
2013,6,6.814
2013,6,6.915
2013,6,7.024
2013,6,6.902
2013,7,7.14
2013,7,7.369
2013,7,7.435
2013,7,7.335
2013,7,7.324
2013,7,7.294
2013,7,7.167
2013,7,6.967
2013,8,7.084
2013,8,7.044
2013,8,6.993
2013,8,6.857
2013,8,7.089
2013,8,6.972
2013,8,6.947
2013,9,6.755
2013,9,6.694
2013,9,6.777
2013,9,6.712
2013,9,6.813
2013,9,7.001
2013,9,7.066
2013,9,7.196
2014,6,7.206
2014,6,7.148
2014,6,7.075
2014,6,6.857
2014,6,6.805
2014,6,7.004
2014,6,6.96
2014,7,7.123
2014,7,7.343
2014,7,7.512
2014,7,7.558
2014,7,7.594
2014,7,7.627
2014,7,7.858
2014,7,7.896
2014,8,7.871
2014,8,7.858
2014,8,7.716
2014,8,7.405
2014,8,7.557
2014,8,7.559
2014,8,7.45
2014,8,7.38
2014,9,7.466
2014,9,7.498
2014,9,7.433
2014,9,7.34
2014,9,7.281
2014,9,7.374
2014,9,7.503
2015,6,7.16
2015,6,7.227
2015,6,7.232
2015,6,7.278
2015,6,7.233
2015,6,7.039
2015,6,6.97
2015,7,7.157
2015,7,7.155
2015,7,6.927
2015,7,6.837
2015,7,7.362
2015,7,7.338
2015,7,7.352
2015,7,7.561
2015,8,7.46
2015,8,7.504
2015,8,7.236
2015,8,7.053
2015,8,7.372
2015,8,7.519
2015,8,7.576
2015,8,7.526
2015,9,7.502
2015,9,7.511
2015,9,7.513
2015,9,7.567
2015,9,7.518
2015,9,7.499
2015,9,7.673
2016,6,6.8
2016,6,6.905
2016,6,6.756
2016,6,6.719
2016,6,6.768
2016,6,6.665
2016,6,6.648
2016,6,7.006
2016,7,7.127
2016,7,7.091
2016,7,7.074
2016,7,7.278
2016,7,7.031
2016,7,7.122
2016,7,7.504
2016,7,7.606
2016,8,7.625
2016,8,7.492
2016,8,7.496
2016,8,7.629
2016,8,7.463
2016,8,7.454
2016,8,7.195
2016,9,7.116
2016,9,7.147
2016,9,7.309
2016,9,7.427
2016,9,7.401
2016,9,7.501
2016,9,7.498
2016,9,7.591
2017,6,6.851
2017,6,6.863
2017,6,6.794
2017,6,6.72
2017,6,7.016
2017,6,7.097
2017,6,7.124
2017,7,7.46
2017,7,7.444
2017,7,7.426
2017,7,7.454
2017,7,7.472
2017,7,7.435
2017,7,7.536
2017,7,7.58
2017,8,7.352
2017,8,7.21
2017,8,7.252
2017,8,7.44
2017,8,7.522
