"age","year","number"
"17","1983",9175.79697777148
"18","1983",5637.58439568981
"19","1983",2182.2113825736
"20","1983",8408.78077399631
"1","1984",414518.222133561
"2","1984",199033.640549796
"3","1984",262291.177100378
"4","1984",5959723.48600563
"5","1984",312567.882807812
"6","1984",177596.231076611
"7","1984",678543.706335841
"8","1984",68509.4912011224
"9","1984",73573.0562096368
"10","1984",57356.5017845298
"11","1984",124724.705187718
"12","1984",39784.6534794998
"13","1984",49274.323334844
"14","1984",78172.341507562
"15","1984",36570.2544876021
"16","1984",11435.7799080926
"17","1984",13581.5133380451
"18","1984",6807.00151633031
"19","1984",4182.20298714813
"20","1984",7856.85427040944
"1","1985",8935692.31345296
"2","1985",329286.426324623
"3","1985",160152.258749038
"4","1985",208430.988955014
"5","1985",4671004.54473964
"6","1985",243294.651095352
"7","1985",133793.316053484
"8","1985",511185.468337621
"9","1985",51612.0863228292
"10","1985",55426.7571040424
"11","1985",43209.9066768454
"12","1985",93962.1961552743
"13","1985",29972.0364829414
"14","1985",37121.1431419199
"15","1985",58891.6596402904
"16","1985",27550.447366788
"17","1985",8615.22176617307
"18","1985",10231.7244882174
"19","1985",5128.10040916949
"20","1985",9069.70481795615
"1","1986",388311.055162261
"2","1986",7098192.72533731
"3","1986",264862.199144107
"4","1986",127106.443631291
"5","1986",161254.97015413
"6","1986",3660732.44127003
"7","1986",187926.36211954
"8","1986",103345.022377771
"9","1986",394851.366442137
"10","1986",39866.3578520173
"11","1986",42812.8969533481
"12","1986",33376.3218087433
"13","1986",72578.5528811436
"14","1986",23151.0876058916
"15","1986",28673.2213674755
"16","1986",45489.2670494612
"17","1986",21280.5966966253
"18","1986",6654.59465746931
"19","1986",7903.21839227996
"20","1986",10966.7100135704
"1","1987",554563.348806363
"2","1987",308362.930905595
"3","1987",5676574.35661451
"4","1987",201062.347402239
"5","1987",98550.7015442338
"6","1987",125245.186782347
"7","1987",2748217.55297709
"8","1987",141081.746707735
"9","1987",77584.0925464813
"10","1987",296426.322732507
"11","1987",29928.8260423013
"12","1987",32140.8780315479
"13","1987",25056.5685747789
"14","1987",54486.815465933
"15","1987",17380.1899892329
"16","1987",21525.815264214
"17","1987",34150.1063470292
"18","1987",15975.9584503264
"19","1987",4995.79637108356
"20","1987",14166.2001526633
"1","1988",3254869.3183632
"2","1988",440477.890872074
"3","1988",247553.321806392
"4","1988",4469156.9274161
"5","1988",154758.056958774
"6","1988",75608.4816804706
"7","1988",92240.4760181883
"8","1988",2024005.08794543
"9","1988",103903.77313592
"10","1988",57139.0710635698
"11","1988",218311.823516889
"12","1988",22041.9581121701
"13","1988",23671.0884101645
"14","1988",18453.6417893365
"15","1988",40128.4067229418
"16","1988",12800.148565225
"17","1988",15853.315386093
"18","1988",25150.8432894581
"19","1988",11765.9612330316
"20","1988",14112.4120312973
"1","1989",1747920.72289132
"2","1989",2585528.22853442
"3","1989",354149.045699587
"4","1989",196843.89123101
"5","1989",3493764.29606332
"6","1989",119085.672320698
"7","1989",54623.3410665963
"8","1989",66639.1239408808
"9","1989",1462242.30115609
"10","1989",75065.2719372833
"11","1989",41280.1169599473
"12","1989",157719.358063948
"13","1989",15924.2107363689
"14","1989",17101.1757795944
"15","1989",13331.8319185358
"16","1989",28990.7639747316
"17","1989",9247.46622655675
"18","1989",11453.2263328673
"19","1989",18170.2245644676
"20","1989",18695.8285320421
"1","1990",494308.886057476
"2","1990",1387889.19946426
"3","1990",2062408.08186235
"4","1990",274680.09475907
"5","1990",151681.110778703
"6","1990",2581503.36802215
"7","1990",84752.1565068553
"8","1990",38874.9197177676
"9","1990",47426.4397358206
"10","1990",1040664.13652842
"11","1990",53423.2502657882
"12","1990",29378.6722200221
"13","1990",112247.388441482
"14","1990",11333.1114841622
"15","1990",12170.7464708289
"16","1990",9488.13978427233
"17","1990",20632.4549188669
"18","1990",6581.33501412643
"19","1990",8151.15380175665
"20","1990",26237.2243523235
"1","1991",2256327.75362535
"2","1991",392370.538638654
"3","1991",1100644.70833777
"4","1991",1581688.10460362
"5","1991",212657.132188594
"6","1991",117545.535441742
"7","1991",1898162.53194649
"8","1991",62317.7060219111
"9","1991",28584.4740528965
"10","1991",34872.3507570417
"11","1991",765193.52899862
"12","1991",39281.7662938061
"13","1991",21601.9454156702
"14","1991",82534.7701218405
"15","1991",8333.1627051453
"16","1991",8949.07022896793
"17","1991",6976.56708857025
"18","1991",15170.9090734497
"19","1991",4839.21256456603
"20","1991",25285.5494031345
"1","1992",1023694.03872271
"2","1992",1789856.57613817
"3","1992",303275.512642163
"4","1992",784608.013631548
"5","1992",1173946.96225762
"6","1992",157949.915970905
"7","1992",84582.5214707448
"8","1992",1365865.34324734
"9","1992",44842.1004489641
"10","1992",20568.598213646
"11","1992",25093.1806602277
"12","1992",550612.133864314
"13","1992",28266.0743214817
"14","1992",15544.1634177281
"15","1992",59389.7415131816
"16","1992",5996.31377557932
"17","1992",6439.50382241474
"18","1992",5020.14503012367
"19","1992",10916.5672487132
"20","1992",21676.9468645363
"1","1993",557672.360186929
"2","1993",812423.918558047
"3","1993",1423728.16572582
"4","1993",226333.981378678
"5","1993",574262.078619849
"6","1993",862317.253164047
"7","1993",109863.847656121
"8","1993",58832.3279320024
"9","1993",950043.06312479
"10","1993",31190.4293333905
"11","1993",14306.7207522935
"12","1993",17453.8451655182
"13","1993",382984.487333464
"14","1993",19660.7871805636
"15","1993",10811.9183930538
"16","1993",41309.205350527
"17","1993",4170.80375819824
"18","1993",4479.06959986671
"19","1993",3491.81856420066
"20","1993",22670.7867940575
"1","1994",2046605.61730928
"2","1994",442863.492669312
"3","1994",649798.816171218
"4","1994",1066711.19660812
"5","1994",168915.092644113
"6","1994",416546.410036562
"7","1994",620680.602948606
"8","1994",79078.0411214647
"9","1994",42346.46197756
"10","1994",683824.078764264
"11","1994",22450.3156046581
"12","1994",10297.7228278437
"13","1994",12562.9669374648
"14","1994",275665.413913358
"15","1994",14151.4844993539
"16","1994",7782.22632402217
"17","1994",29733.63038976
"18","1994",3002.07027276806
"19","1994",3223.95453609828
"20","1994",18831.3774412917
"1","1995",2146728.13465523
"2","1995",1625646.25615993
"3","1995",355660.237192908
"4","1995",506298.947967799
"5","1995",742833.560163902
"6","1995",123944.256152573
"7","1995",257144.857093123
"8","1995",383162.166567907
"9","1995",48816.917139193
"10","1995",26141.564664219
"11","1995",422142.265000529
"12","1995",13859.1596488578
"13","1995",6357.05026174163
"14","1995",7755.44395525213
"15","1995",170175.379641479
"16","1995",8736.07687297676
"17","1995",4804.16930200256
"18","1995",18355.3379724566
"19","1995",1853.25551408953
"20","1995",13615.3260544714
"1","1996",1211357.85116873
"2","1996",1705032.25964146
"3","1996",1306468.4922382
"4","1996",282327.252061501
"5","1996",386387.675815565
"6","1996",500584.735943432
"7","1996",81865.7585820675
"8","1996",169845.3760172
"9","1996",253080.395975889
"10","1996",32243.801183642
"11","1996",17266.6252409796
"12","1996",278826.932579102
"13","1996",9154.03951085129
"14","1996",4198.86131214645
"15","1996",5122.5068611156
"16","1996",112401.631013797
"17","1996",5770.21947154306
"18","1996",3173.17620415568
"19","1996",12123.7862389978
"20","1996",10217.0701862939
"1","1997",1189040.09910023
"2","1997",960004.008466603
"3","1997",1285636.44697937
"4","1997",966091.491620699
"5","1997",214882.707800168
"6","1997",274400.749656033
"7","1997",305733.421684895
"8","1997",49999.7237090214
"9","1997",103733.50251927
"10","1997",154569.506154139
"11","1997",19692.9849357539
"12","1997",10545.6360069117
"13","1997",170294.269949425
"14","1997",5590.85329802695
"15","1997",2564.46540209314
"16","1997",3128.58430911126
"17","1997",68649.5867438803
"18","1997",3524.17646052041
"19","1997",1938.02557059038
"20","1997",13644.7358216038
"1","1998",820775.712058962
"2","1998",944183.017044476
"3","1998",766352.266243742
"4","1998",878428.931751004
"5","1998",644156.579985794
"6","1998",159681.376653998
"7","1998",168775.264777202
"8","1998",188047.005195102
"9","1998",30753.2563899885
"10","1998",63803.212549173
"11","1998",95070.8384009425
"12","1998",12112.5352279526
"13","1998",6486.28880038261
"14","1998",104742.645698973
"15","1998",3438.75790021641
"16","1998",1577.32195627304
"17","1998",1924.29374121589
"18","1998",42224.2001673378
"19","1998",2167.61002290081
"20","1998",9584.4660891935
"1","1999",1404659.48964053
"2","1999",651047.995253374
"3","1999",735357.225196873
"4","1999",508815.479194198
"5","1999",589883.619623768
"6","1999",373650.978883507
"7","1999",100312.853105507
"8","1999",106025.691274717
"9","1999",118132.3207774
"10","1999",19319.3906227992
"11","1999",40081.5826004116
"12","1999",59724.103379919
"13","1999",7609.17141696292
"14","1999",4074.727743878
"15","1999",65799.9940384419
"16","1999",2160.24951273599
"17","1999",990.883652278103
"18","1999",1208.85352718809
"19","1999",26525.5102231588
"20","1999",7382.72871526964
"1","2000",8594848.69462575
"2","2000",1113441.28770897
"3","2000",470975.974579583
"4","2000",478860.026525542
"5","2000",310104.939892148
"6","2000",359879.222941599
"7","2000",225908.001667004
"8","2000",60648.7804589588
"9","2000",64102.7413143789
"10","2000",71422.3647930761
"11","2000",11680.4322099247
"12","2000",24233.1767896503
"13","2000",36108.9722987652
"14","2000",4600.47693246831
"15","2000",2463.56534300306
"16","2000",39782.4333482064
"17","2000",1306.07887602097
"18","2000",599.084596110312
