"Predator_ID","month","year","latitude","longitude","predator_age","prey_name","prey_wt","prey_length","prey_age","source"
"6703",7,1989,37.32,-122.57,7,"other",23.99,96.6,NA,"CCTD"
"6716",7,1989,37.32,-122.62,6,"other",65.44,132,NA,"CCTD"
"6718",7,1989,37.32,-122.62,6,"other",102.55,134.7,NA,"CCTD"
"6718",7,1989,37.32,-122.62,6,"other",102.55,135.6,NA,"CCTD"
"6720",7,1989,37.32,-122.62,7,"other",66.97,124.2,NA,"CCTD"
"6723",7,1989,37.32,-122.62,7,"other",20.94,134.8,NA,"CCTD"
"6736",7,1989,37.32,-122.8,6,"other",22.58,134.5,NA,"CCTD"
"6741",7,1989,37.32,-122.8,8,"other",22.1,130.2,NA,"CCTD"
"6982",8,1989,38.23,-123.05,9,"other",32.05,147.2,NA,"CCTD"
"6984",8,1989,38.24,-123.13,6,"Pacific Hake",9.818,106.1,1,"CCTD"
"6985",8,1989,38.24,-123.13,7,"other",4.4,95.9,NA,"CCTD"
"6988",8,1989,38.73,-123.8,3,"other",0.52,104,NA,"CCTD"
"7056",8,1989,39.41,-123.97,6,"other",0.099,41,NA,"CCTD"
"8073",8,1989,46.32,-124.25,7,"other",8.019,150,NA,"CCTD"
"9163",4,1990,42.77,-124.85,6,"other",2.85,17,NA,"CCTD"
"9237",4,1990,44.53,-125.05,6,"Pacific Hake",30.69,85,1,"CCTD"
"9506",6,1990,45.88,-124.58,4,"other",2.4,60,NA,"CCTD"
"9567",6,1990,43.12,-124.7,6,"other",10.8,41,NA,"CCTD"
"9567",6,1990,43.12,-124.7,6,"other",10.8,38,NA,"CCTD"
"9567",6,1990,43.12,-124.7,6,"other",10.8,44,NA,"CCTD"
"10013",11,1991,40.06,-124.29,9,"Pacific Hake",51.98,NA,1,"CCTD"
"10028",11,1991,40.06,-124.26,1,"other",2.059,65,NA,"CCTD"
"10028",11,1991,40.06,-124.26,1,"other",1.301,105,NA,"CCTD"
"10029",11,1991,40.06,-124.26,1,"other",1.79,70,NA,"CCTD"
"10029",11,1991,40.06,-124.26,1,"other",1.79,60,NA,"CCTD"
"10029",11,1991,40.06,-124.26,1,"other",1.79,75,NA,"CCTD"
"10031",11,1991,40.06,-124.26,1,"other",1.054,53,NA,"CCTD"
"10037",11,1991,40.06,-124.26,6,"Pacific Hake",13.28,140,1,"CCTD"
"10037",11,1991,40.06,-124.26,6,"Pacific Hake",13.28,120,1,"CCTD"
"10038",11,1991,40.06,-124.26,6,"other",8.156,NA,NA,"CCTD"
"10039",11,1991,40.06,-124.26,6,"other",40.74,NA,NA,"CCTD"
"10039",11,1991,40.06,-124.26,6,"other",40.74,NA,NA,"CCTD"
"10039",11,1991,40.06,-124.26,6,"other",40.74,NA,NA,"CCTD"
"10039",11,1991,40.06,-124.26,6,"other",40.74,NA,NA,"CCTD"
"10039",11,1991,40.06,-124.26,6,"other",40.74,NA,NA,"CCTD"
"10039",11,1991,40.06,-124.26,6,"other",40.74,NA,NA,"CCTD"
"10039",11,1991,40.06,-124.26,6,"other",40.74,NA,NA,"CCTD"
"10039",11,1991,40.06,-124.26,6,"other",40.74,NA,NA,"CCTD"
"10039",11,1991,40.06,-124.26,6,"other",40.74,NA,NA,"CCTD"
"10039",11,1991,40.06,-124.26,6,"other",40.74,NA,NA,"CCTD"
"10039",11,1991,40.06,-124.26,6,"other",40.74,NA,NA,"CCTD"
"10047",11,1991,39.95,-124.21,1,"other",1.74,NA,NA,"CCTD"
"10048",11,1991,39.95,-124.21,2,"other",1.666,70,NA,"CCTD"
"10053",11,1991,39.95,-124.21,7,"Pacific Hake",102.954,NA,1,"CCTD"
"10054",11,1991,39.95,-124.21,7,"Pacific Hake",67.89,NA,1,"CCTD"
"10054",11,1991,39.95,-124.21,7,"Pacific Hake",67.89,NA,1,"CCTD"
"10055",11,1991,39.95,-124.21,10,"Pacific Hake",81.423,NA,1,"CCTD"
"10074",11,1991,39.95,-124.21,3,"other",0.509,47,NA,"CCTD"
"10074",11,1991,39.95,-124.21,3,"other",0.509,50,NA,"CCTD"
"10075",11,1991,39.95,-124.21,5,"other",1.31,NA,NA,"CCTD"
"10076",11,1991,39.95,-124.21,5,"Pacific Hake",3.71,115,1,"CCTD"
"10077",11,1991,39.95,-124.21,6,"other",5.49,190,NA,"CCTD"
"10078",11,1991,39.95,-124.21,7,"Pacific Hake",36.52,NA,1,"CCTD"
"10079",11,1991,39.95,-124.21,7,"Pacific Hake",49.108,NA,1,"CCTD"
"10079",11,1991,39.95,-124.21,7,"Pacific Hake",49.108,NA,1,"CCTD"
"10080",11,1991,39.95,-124.21,8,"Pacific Hake",30.269,225,1,"CCTD"
"10081",11,1991,39.95,-124.21,9,"Pacific Hake",97.32,200,1,"CCTD"
"10081",11,1991,39.95,-124.21,9,"Pacific Hake",97.32,NA,1,"CCTD"
"10154",11,1991,39.78,-124.06,1,"other",0.162,32,NA,"CCTD"
"10158",11,1991,39.64,-124,1,"other",2.303,NA,NA,"CCTD"
"10159",11,1991,39.64,-124,3,"other",0.656,NA,NA,"CCTD"
"10161",11,1991,39.64,-124,4,"other",3.595,NA,NA,"CCTD"
"10168",11,1991,39.64,-124,6,"other",0.729,NA,NA,"CCTD"
"10169",11,1991,39.64,-124,7,"Pacific Hake",63.51,NA,1,"CCTD"
"10170",11,1991,39.64,-124,8,"Pacific Hake",76.86,NA,1,"CCTD"
"10244",11,1991,39.49,-123.97,1,"other",0.97,55,NA,"CCTD"
"10244",11,1991,39.49,-123.97,1,"other",0.97,55,NA,"CCTD"
"10246",11,1991,39.49,-123.97,1,"other",0.035,21,NA,"CCTD"
"10251",11,1991,39.49,-123.97,1,"other",0.626,75,NA,"CCTD"
"10255",11,1991,39.49,-123.97,1,"other",0.412,55,NA,"CCTD"
"10271",11,1991,39.36,-123.98,10,"Pacific Hake",74.17,NA,1,"CCTD"
"10334",11,1991,38.99,-123.98,2,"other",1.84,75,NA,"CCTD"
"10338",11,1991,38.99,-123.98,4,"other",1.769,60,NA,"CCTD"
"10353",11,1991,38.97,-124.03,1,"other",2.63,NA,NA,"CCTD"
"10355",11,1991,38.97,-124.03,2,"other",1.081,65,NA,"CCTD"
"10359",11,1991,38.97,-124.03,3,"other",2.573,70,NA,"CCTD"
"10360",11,1991,38.97,-124.03,4,"other",1.72,55,NA,"CCTD"
"10360",11,1991,38.97,-124.03,4,"other",1.72,55,NA,"CCTD"
"10361",11,1991,38.97,-124.03,4,"other",0.45,65,NA,"CCTD"
"10364",11,1991,38.97,-124.03,6,"other",0.962,60,NA,"CCTD"
"10364",11,1991,38.97,-124.03,6,"other",33.908,NA,NA,"CCTD"
