"","year","n.fish","n.hauls","source","age","proportion","catch"
"297",2018,818,403,"ms","a8",0.169057310917542,138.288880330549
"298",2019,824,286,"ms","a8",0.0161395583261389,13.2989960607385
"299",2020,509,186,"ms","a8",0.0220458457181448,11.2213354705357
"300",2008,1259,63,"shore","a8",0.0286824918573554,36.1112572484104
"301",2009,1399,65,"shore","a8",0.0183087321919306,25.6139163365109
"302",2010,1584,75,"shore","a8",0.00138612941735304,2.19562899708722
"303",2011,1599,81,"shore","a8",0.00571023118761157,9.1306596689909
"304",2012,1522,76,"shore","a8",0.00656189966510497,9.98721129028976
"305",2013,1915,96,"shore","a8",0.0101269318203318,19.3930744359354
"306",2014,1355,68,"shore","a8",0.024022076478093,32.549913627816
"307",2015,1680,84,"shore","a8",0.0078023616466517,13.1079675663749
"308",2016,1518,76,"shore","a8",0.0269932619513446,40.9757716421411
"309",2017,2235,112,"shore","a8",0.0289080718645516,64.6095406172728
"310",2018,1834,92,"shore","a8",0.190840781069407,350.001992481292
"311",2019,1826,92,"shore","a8",0.0186524930111056,34.0594522382788
"312",2020,1916,96,"shore","a8",0.0273635497192186,52.4285612620228
"313",2008,1757,356,"cp","a9",0.235942442480598,414.550871438411
"314",2009,1323,278,"cp","a9",0.00584881835980654,7.73798669002405
"315",2010,976,331,"cp","a9",0.0034065614856632,3.32480401000728
"316",2011,1185,506,"cp","a9",0.00359595691302591,4.2612089419357
"317",2012,981,332,"cp","a9",0.00788158846517029,7.73183828433205
"318",2013,1402,474,"cp","a9",0.00838924272311246,11.7617182978037
"319",2014,1652,557,"cp","a9",0.00888205677868053,14.6731577983802
"320",2015,1263,431,"cp","a9",0.00774548888537372,9.78255246222701
"321",2016,1995,671,"cp","a9",0.00732611397641345,14.6155973829448
"322",2017,2026,684,"cp","a9",0.021126104619723,42.8014879595588
"323",2018,1162,549,"cp","a9",0.0249699514268624,29.0150835580141
"324",2019,1190,494,"cp","a9",0.174002701015323,207.063214208234
"325",2020,909,389,"cp","a9",0.0179784105959968,16.3423752317611
"326",2008,1580,324,"ms","a9",0.227459344291029,359.385763979826
"327",2009,1187,316,"ms","a9",0.020707015845916,24.5792278091023
"328",2010,1305,443,"ms","a9",0.00214047081443085,2.79331441283226
"329",2011,1153,481,"ms","a9",0.00103822753589432,1.19707634888615
"330",2012,884,299,"ms","a9",0.000720888574667948,0.637265500006466
"331",2013,1215,409,"ms","a9",0.00134932677737539,1.6394320345111
"332",2014,1252,423,"ms","a9",0.00995821593297635,12.4676863480864
"333",2015,601,203,"ms","a9",0.00626150400884881,3.76316390931813
